"skill_id","skills","demand_count","average_salary"
0,"sql","3083","96435"
181,"excel","2143","86419"
1,"python","1840","101512"
182,"tableau","1659","97978"
5,"r","1073","98708"
183,"power bi","1044","92324"
188,"word","527","82941"
196,"powerpoint","524","88316"
186,"sas","500","93707"
7,"sas","500","93707"
61,"sql server","336","96191"
79,"oracle","332","100964"
74,"azure","319","105400"
76,"aws","291","106440"
8,"go","288","97267"
215,"flow","271","98020"
185,"looker","260","103855"
80,"snowflake","241","111578"
199,"spss","212","85293"
92,"spark","187","113002"
22,"vba","185","93845"
189,"sap","183","92446"
198,"outlook","180","80680"
195,"sharepoint","174","89027"
192,"sheets","155","84130"
